item_id,order_id,food_name,category,quantity,unit_price
1,1,Veg Burger,Fast Food,2,229.54
2,2,Brownie,Desserts,2,378.42
3,2,Noodles,Chinese,2,435.88
4,2,Ice Cream,Desserts,3,164.7
5,2,Fried Rice,Chinese,2,107.84
6,3,Fried Rice,Chinese,1,212.79
7,4,Veg Biryani,North Indian,2,265.51
8,4,Fried Rice,Chinese,3,164.24
9,4,Veg Burger,Fast Food,2,159.75
10,4,Idli,South Indian,2,95.87
11,5,Paneer Pizza,Italian,2,131.91
12,5,Chicken Burger,Fast Food,1,342.4
13,5,Chicken Pizza,Italian,1,183.47
14,5,Noodles,Chinese,3,254.73
15,6,Masala Dosa,South Indian,2,120.21
16,6,Noodles,Chinese,2,368.57
17,7,Fried Rice,Chinese,3,384.82
18,8,Chicken Burger,Fast Food,1,132.26
19,8,Veg Biryani,North Indian,1,228.08
20,8,Chicken Biryani,North Indian,2,147.52
21,8,Idli,South Indian,2,393.94
22,9,Idli,South Indian,1,378.96
23,9,Ice Cream,Desserts,3,273.66
24,9,Veg Burger,Fast Food,1,252.08
25,10,Chicken Pizza,Italian,3,319.88
26,10,Brownie,Desserts,2,274.13
27,10,Veg Burger,Fast Food,1,294.21
28,11,Masala Dosa,South Indian,3,425.15
29,11,Fried Rice,Chinese,1,370.13
30,11,Veg Biryani,North Indian,3,375.04
31,11,Chicken Biryani,North Indian,3,86.07
32,12,Chicken Burger,Fast Food,2,308.05
33,12,Veg Biryani,North Indian,3,359.55
34,12,Brownie,Desserts,1,207.55
35,13,Chicken Biryani,North Indian,2,163.5
36,13,Veg Biryani,North Indian,2,166.89
37,13,Masala Dosa,South Indian,2,308.89
38,13,Masala Dosa,South Indian,1,344.85
39,14,Idli,South Indian,3,419.68
40,14,Fried Rice,Chinese,3,244.51
41,14,Paneer Pizza,Italian,1,139.46
42,14,Brownie,Desserts,2,193.77
43,15,Brownie,Desserts,3,111.29
44,15,Chicken Biryani,North Indian,1,167.67
45,15,Veg Burger,Fast Food,1,134.67
46,15,Veg Burger,Fast Food,1,250.28
47,16,Brownie,Desserts,1,396.74
48,16,Idli,South Indian,2,377.83
49,16,Fried Rice,Chinese,2,362.67
50,17,Brownie,Desserts,3,170.0
51,17,Noodles,Chinese,3,94.32
52,17,Chicken Biryani,North Indian,1,173.29
53,17,Chicken Pizza,Italian,3,219.62
54,18,Chicken Burger,Fast Food,2,270.82
55,19,Paneer Pizza,Italian,1,264.24
56,20,Veg Burger,Fast Food,1,228.94
57,21,Chicken Biryani,North Indian,2,276.0
58,22,Fried Rice,Chinese,1,400.65
59,22,Ice Cream,Desserts,1,400.03
60,22,Veg Biryani,North Indian,2,197.96
61,23,Chicken Biryani,North Indian,1,158.49
62,23,Paneer Pizza,Italian,1,192.37
63,23,Noodles,Chinese,3,194.38
64,23,Chicken Burger,Fast Food,1,310.1
65,24,Ice Cream,Desserts,1,416.68
66,24,Masala Dosa,South Indian,3,301.89
67,24,Chicken Pizza,Italian,1,168.23
68,25,Chicken Biryani,North Indian,2,296.01
69,26,Idli,South Indian,1,209.21
70,27,Fried Rice,Chinese,2,342.1
71,27,Veg Burger,Fast Food,2,384.22
72,27,Chicken Pizza,Italian,2,414.28
73,27,Ice Cream,Desserts,1,378.9
74,28,Veg Biryani,North Indian,1,340.82
75,28,Noodles,Chinese,3,121.84
76,28,Idli,South Indian,1,443.16
77,28,Ice Cream,Desserts,2,293.83
78,29,Noodles,Chinese,1,105.62
79,29,Chicken Biryani,North Indian,1,281.73
80,30,Paneer Pizza,Italian,3,293.23
81,30,Chicken Pizza,Italian,1,368.9
82,30,Paneer Pizza,Italian,3,186.15
83,30,Chicken Biryani,North Indian,1,107.65
84,31,Veg Burger,Fast Food,2,221.83
85,31,Veg Burger,Fast Food,3,426.2
86,31,Brownie,Desserts,1,291.25
87,32,Ice Cream,Desserts,2,99.75
88,32,Brownie,Desserts,3,282.13
89,33,Chicken Biryani,North Indian,2,306.91
90,33,Noodles,Chinese,1,282.73
91,33,Veg Biryani,North Indian,2,435.69
92,33,Fried Rice,Chinese,1,281.14
93,34,Chicken Biryani,North Indian,2,249.85
94,34,Fried Rice,Chinese,1,414.65
95,34,Ice Cream,Desserts,1,334.31
96,34,Chicken Biryani,North Indian,2,268.83
97,35,Noodles,Chinese,2,93.67
98,35,Masala Dosa,South Indian,2,136.67
99,35,Veg Burger,Fast Food,3,97.5
100,36,Masala Dosa,South Indian,1,296.23
101,36,Veg Biryani,North Indian,2,311.67
102,36,Chicken Burger,Fast Food,2,83.89
103,37,Paneer Pizza,Italian,3,368.1
104,38,Chicken Biryani,North Indian,1,234.31
105,38,Ice Cream,Desserts,2,398.11
106,39,Veg Burger,Fast Food,2,90.76
107,39,Chicken Biryani,North Indian,3,87.7
108,39,Noodles,Chinese,2,318.25
109,39,Brownie,Desserts,2,238.43
110,40,Noodles,Chinese,3,158.72
111,40,Idli,South Indian,3,338.83
112,40,Chicken Pizza,Italian,3,115.6
113,40,Fried Rice,Chinese,2,260.38
114,41,Idli,South Indian,1,404.25
115,41,Fried Rice,Chinese,1,340.83
116,42,Paneer Pizza,Italian,1,336.75
117,42,Fried Rice,Chinese,3,423.34
118,42,Masala Dosa,South Indian,1,299.22
119,43,Paneer Pizza,Italian,2,236.36
120,44,Idli,South Indian,1,416.43
121,44,Veg Biryani,North Indian,1,172.93
122,44,Ice Cream,Desserts,1,142.28
123,45,Chicken Burger,Fast Food,3,294.93
124,46,Masala Dosa,South Indian,3,234.12
125,46,Ice Cream,Desserts,1,166.78
126,47,Chicken Pizza,Italian,3,424.77
127,47,Chicken Burger,Fast Food,1,430.9
128,47,Chicken Pizza,Italian,1,306.47
129,47,Noodles,Chinese,1,116.16
130,48,Chicken Biryani,North Indian,1,172.46
131,48,Noodles,Chinese,1,156.7
132,48,Masala Dosa,South Indian,1,376.08
133,49,Noodles,Chinese,2,177.78
134,49,Paneer Pizza,Italian,2,234.23
135,50,Noodles,Chinese,2,233.15
136,50,Noodles,Chinese,1,356.73
137,50,Chicken Biryani,North Indian,3,95.07
138,50,Veg Burger,Fast Food,3,213.31
139,51,Brownie,Desserts,1,281.46
140,51,Chicken Biryani,North Indian,2,387.9
141,51,Veg Burger,Fast Food,1,395.7
142,52,Chicken Pizza,Italian,3,281.09
143,52,Brownie,Desserts,3,377.76
144,52,Chicken Biryani,North Indian,2,279.97
145,53,Idli,South Indian,2,309.77
146,54,Fried Rice,Chinese,3,420.31
147,54,Veg Biryani,North Indian,3,442.55
148,54,Chicken Burger,Fast Food,2,327.79
149,55,Veg Biryani,North Indian,2,238.24
150,56,Fried Rice,Chinese,3,299.75
151,57,Chicken Burger,Fast Food,2,114.49
152,57,Veg Burger,Fast Food,2,419.92
153,57,Masala Dosa,South Indian,1,416.96
154,58,Masala Dosa,South Indian,3,284.72
155,58,Veg Biryani,North Indian,2,326.81
156,58,Chicken Pizza,Italian,3,333.44
157,58,Chicken Pizza,Italian,2,424.53
158,59,Masala Dosa,South Indian,2,213.41
159,59,Fried Rice,Chinese,2,308.76
160,59,Veg Burger,Fast Food,1,325.2
161,59,Veg Biryani,North Indian,2,421.42
162,60,Chicken Pizza,Italian,3,117.84
163,60,Masala Dosa,South Indian,1,148.28
164,61,Veg Biryani,North Indian,3,393.12
165,61,Fried Rice,Chinese,3,119.86
166,61,Ice Cream,Desserts,2,115.78
167,61,Masala Dosa,South Indian,1,283.01
168,62,Masala Dosa,South Indian,1,343.56
169,62,Noodles,Chinese,1,323.91
170,63,Chicken Pizza,Italian,1,323.56
171,63,Chicken Burger,Fast Food,3,153.87
172,64,Chicken Biryani,North Indian,2,122.06
173,64,Chicken Burger,Fast Food,2,411.78
174,65,Idli,South Indian,3,187.13
175,65,Chicken Pizza,Italian,2,193.49
176,66,Idli,South Indian,1,356.81
177,66,Chicken Pizza,Italian,3,408.89
178,67,Idli,South Indian,2,108.17
179,68,Noodles,Chinese,1,406.02
180,68,Chicken Biryani,North Indian,3,282.13
181,68,Ice Cream,Desserts,3,445.99
182,68,Veg Biryani,North Indian,3,152.9
183,69,Ice Cream,Desserts,3,357.97
184,69,Brownie,Desserts,3,331.9
185,70,Veg Burger,Fast Food,3,245.55
186,70,Idli,South Indian,2,90.22
187,70,Idli,South Indian,1,305.73
188,71,Fried Rice,Chinese,3,235.35
189,71,Brownie,Desserts,2,208.47
190,72,Idli,South Indian,2,298.22
191,72,Veg Burger,Fast Food,2,126.14
192,72,Chicken Pizza,Italian,3,186.99
193,73,Chicken Biryani,North Indian,1,111.94
194,73,Veg Burger,Fast Food,3,197.02
195,74,Chicken Biryani,North Indian,1,296.46
196,74,Ice Cream,Desserts,1,187.08
197,74,Chicken Biryani,North Indian,1,270.13
198,75,Chicken Pizza,Italian,2,282.45
199,75,Veg Burger,Fast Food,1,436.24
200,75,Chicken Burger,Fast Food,3,247.02
201,75,Ice Cream,Desserts,3,220.83
202,76,Veg Biryani,North Indian,2,200.41
203,77,Idli,South Indian,3,435.33
204,77,Paneer Pizza,Italian,1,115.66
205,78,Masala Dosa,South Indian,3,115.38
206,78,Masala Dosa,South Indian,3,120.4
207,78,Ice Cream,Desserts,2,447.68
208,79,Idli,South Indian,1,149.48
209,79,Masala Dosa,South Indian,3,179.95
210,79,Brownie,Desserts,3,112.79
211,80,Chicken Burger,Fast Food,3,261.82
212,80,Chicken Burger,Fast Food,1,308.9
213,80,Idli,South Indian,1,292.32
214,81,Ice Cream,Desserts,1,323.09
215,81,Veg Biryani,North Indian,2,117.62
216,81,Fried Rice,Chinese,2,116.5
217,81,Fried Rice,Chinese,3,321.06
218,82,Noodles,Chinese,1,280.77
219,82,Chicken Pizza,Italian,2,283.15
220,82,Idli,South Indian,1,300.06
221,83,Brownie,Desserts,1,392.61
222,83,Noodles,Chinese,1,277.99
223,83,Chicken Pizza,Italian,3,271.87
224,83,Chicken Burger,Fast Food,2,386.28
225,84,Noodles,Chinese,1,397.31
226,84,Brownie,Desserts,1,442.24
227,84,Ice Cream,Desserts,1,384.58
228,85,Idli,South Indian,1,371.43
229,86,Veg Biryani,North Indian,2,205.94
230,86,Chicken Pizza,Italian,1,325.31
231,86,Masala Dosa,South Indian,3,80.95
232,86,Chicken Biryani,North Indian,3,347.78
233,87,Noodles,Chinese,1,390.3
234,88,Chicken Pizza,Italian,1,99.52
235,88,Paneer Pizza,Italian,2,316.12
236,88,Masala Dosa,South Indian,1,344.36
237,88,Paneer Pizza,Italian,2,147.84
238,89,Idli,South Indian,1,388.11
239,89,Fried Rice,Chinese,2,101.92
240,90,Paneer Pizza,Italian,3,222.76
241,90,Veg Burger,Fast Food,2,296.5
242,91,Idli,South Indian,1,211.96
243,91,Chicken Biryani,North Indian,1,140.79
244,91,Ice Cream,Desserts,2,176.27
245,92,Veg Burger,Fast Food,2,398.65
246,92,Fried Rice,Chinese,2,408.79
247,93,Chicken Biryani,North Indian,1,152.05
248,93,Ice Cream,Desserts,2,379.46
249,93,Fried Rice,Chinese,2,189.51
250,94,Veg Burger,Fast Food,3,220.54
251,94,Veg Burger,Fast Food,3,89.44
252,94,Noodles,Chinese,3,341.44
253,94,Paneer Pizza,Italian,2,174.45
254,95,Brownie,Desserts,2,113.19
255,96,Chicken Burger,Fast Food,2,187.66
256,96,Chicken Burger,Fast Food,3,307.52
257,97,Brownie,Desserts,1,240.66
258,98,Veg Biryani,North Indian,3,98.27
259,98,Ice Cream,Desserts,1,338.31
260,98,Veg Biryani,North Indian,1,238.37
261,98,Veg Burger,Fast Food,2,127.05
262,99,Paneer Pizza,Italian,1,272.64
263,99,Chicken Pizza,Italian,2,394.85
264,100,Noodles,Chinese,3,300.85
265,100,Fried Rice,Chinese,2,215.89
266,101,Paneer Pizza,Italian,2,103.6
267,101,Idli,South Indian,2,400.86
268,102,Paneer Pizza,Italian,3,180.19
269,102,Idli,South Indian,2,211.49
270,102,Chicken Biryani,North Indian,2,117.79
271,103,Masala Dosa,South Indian,1,278.35
272,103,Masala Dosa,South Indian,2,230.9
273,103,Chicken Biryani,North Indian,2,101.54
274,104,Brownie,Desserts,1,108.96
275,105,Ice Cream,Desserts,1,170.79
276,105,Ice Cream,Desserts,3,437.28
277,106,Chicken Biryani,North Indian,1,317.17
278,106,Ice Cream,Desserts,2,146.07
279,106,Veg Biryani,North Indian,2,352.72
280,106,Chicken Pizza,Italian,2,186.75
281,107,Idli,South Indian,2,288.64
282,107,Noodles,Chinese,3,312.62
283,107,Fried Rice,Chinese,2,407.66
284,108,Noodles,Chinese,3,127.06
285,108,Paneer Pizza,Italian,2,401.01
286,109,Veg Burger,Fast Food,3,397.13
287,109,Chicken Biryani,North Indian,3,172.09
288,110,Paneer Pizza,Italian,1,210.23
289,110,Idli,South Indian,1,331.7
290,110,Veg Biryani,North Indian,2,235.39
291,111,Masala Dosa,South Indian,3,347.79
292,112,Brownie,Desserts,2,253.98
293,112,Chicken Biryani,North Indian,2,368.42
294,113,Chicken Burger,Fast Food,1,281.85
295,113,Ice Cream,Desserts,1,94.39
296,113,Chicken Pizza,Italian,1,140.06
297,113,Chicken Burger,Fast Food,3,131.76
298,114,Chicken Biryani,North Indian,1,146.18
299,114,Masala Dosa,South Indian,3,269.45
300,114,Paneer Pizza,Italian,1,136.72
301,115,Veg Biryani,North Indian,1,176.85
302,115,Paneer Pizza,Italian,1,231.44
303,115,Chicken Pizza,Italian,3,129.23
304,116,Chicken Burger,Fast Food,2,177.71
305,116,Chicken Pizza,Italian,2,119.37
306,117,Veg Biryani,North Indian,2,126.12
307,118,Idli,South Indian,3,398.89
308,118,Idli,South Indian,3,265.02
309,118,Veg Burger,Fast Food,1,331.23
310,118,Ice Cream,Desserts,2,361.78
311,119,Chicken Pizza,Italian,1,236.41
312,120,Paneer Pizza,Italian,1,415.36
313,120,Brownie,Desserts,3,225.5
314,120,Chicken Biryani,North Indian,2,373.45
315,121,Fried Rice,Chinese,3,95.03
316,121,Chicken Pizza,Italian,3,223.15
317,121,Brownie,Desserts,3,341.11
318,121,Chicken Burger,Fast Food,1,404.26
319,122,Idli,South Indian,1,290.0
320,122,Chicken Pizza,Italian,1,154.09
321,122,Noodles,Chinese,1,210.98
322,123,Chicken Biryani,North Indian,1,248.01
323,123,Noodles,Chinese,3,253.64
324,123,Ice Cream,Desserts,1,313.1
325,124,Paneer Pizza,Italian,1,202.0
326,125,Veg Burger,Fast Food,3,295.81
