order_id,customer_id,restaurant_id,partner_id,order_date,delivery_time_minutes,order_status,total_amount
1,340,144,197,2024-08-03 23:14:37,54,Delivered,1332.49
2,373,116,30,2024-12-26 20:55:20,21,Delivered,515.88
3,350,91,213,2025-03-24 05:19:29,55,Preparing,631.77
4,535,96,180,2025-11-28 22:40:33,21,Delivered,420.86
5,144,105,28,2025-11-25 02:26:55,31,Delivered,459.45
6,953,101,56,2024-10-30 06:04:26,44,Delivered,464.45
7,347,28,194,2026-06-10 19:58:23,41,Delivered,1194.85
8,689,32,198,2026-01-04 16:23:33,43,Delivered,1122.37
9,517,35,247,2026-06-23 08:25:01,46,Delivered,1364.75
10,567,111,215,2025-08-30 23:40:49,52,Delivered,988.75
11,944,46,178,2026-04-30 08:07:28,52,Delivered,1495.15
12,107,100,169,2025-10-20 04:55:31,53,Delivered,681.04
13,903,99,108,2024-09-24 22:29:11,53,Preparing,1407.92
14,281,102,247,2026-07-18 13:21:24,36,Preparing,897.2
15,137,36,106,2026-05-06 14:31:59,53,Delivered,1384.9
16,307,141,221,2024-10-24 23:40:08,35,Delivered,1693.59
17,648,56,52,2026-07-08 21:29:29,28,Delivered,629.46
18,354,34,182,2025-08-06 20:04:03,56,Preparing,443.39
19,556,83,182,2025-11-06 07:42:53,22,Delivered,1077.76
20,597,147,242,2025-08-09 04:35:00,57,Delivered,1262.5
21,916,137,74,2024-12-04 01:53:54,69,Delivered,171.07
22,110,7,98,2024-09-03 11:36:57,24,Delivered,243.4
23,274,42,74,2024-12-30 17:54:37,58,Delivered,1534.98
24,708,76,53,2025-09-07 03:47:04,63,Delivered,741.83
25,464,27,158,2026-05-07 02:13:43,70,Delivered,1077.11
26,230,144,100,2026-01-27 09:49:38,30,Delivered,1464.78
27,713,74,178,2025-04-14 04:33:46,57,Delivered,779.61
28,427,81,248,2025-10-24 02:21:46,50,Delivered,1377.06
29,208,114,213,2025-01-28 09:13:14,29,Preparing,1312.64
30,664,95,194,2025-02-23 02:32:36,52,Delivered,1145.59
31,795,50,76,2026-04-06 08:32:02,43,Delivered,1276.39
32,192,45,189,2024-08-27 08:07:43,47,Delivered,217.05
33,286,143,68,2024-10-03 20:52:18,23,Delivered,1545.92
34,6,85,120,2026-05-11 09:28:12,60,Preparing,215.9
35,951,83,153,2025-05-07 23:08:51,18,Delivered,1181.85
36,864,78,126,2025-01-08 07:40:28,65,Delivered,740.84
37,803,82,135,2025-05-31 12:06:44,29,Preparing,1009.0
38,806,130,41,2025-03-24 23:14:30,41,Delivered,815.64
39,358,57,227,2024-10-05 13:49:42,28,Delivered,696.26
40,301,56,244,2025-04-07 16:33:02,63,Delivered,933.51
41,575,3,30,2025-03-14 03:33:31,57,Delivered,546.57
42,658,63,246,2025-07-16 10:40:24,17,Delivered,679.55
43,938,30,99,2024-10-20 13:53:35,31,Delivered,616.67
44,934,133,211,2025-04-08 20:55:11,64,Delivered,1474.65
45,457,125,12,2026-05-02 21:05:45,33,Cancelled,467.65
46,527,22,243,2025-04-09 15:31:47,21,Delivered,1727.86
47,551,137,2,2025-01-02 04:37:08,55,Delivered,1256.05
48,793,55,222,2024-10-20 08:17:35,58,Delivered,321.48
49,551,112,166,2025-01-13 07:09:56,67,Preparing,1382.37
50,158,7,118,2026-02-15 05:48:44,60,Delivered,294.41
51,56,46,204,2024-12-10 19:58:50,31,Delivered,1098.69
52,234,67,105,2025-05-09 10:18:48,39,Delivered,817.34
53,324,5,100,2025-11-22 03:35:50,58,Delivered,159.73
54,738,17,194,2026-06-17 07:36:23,62,Delivered,1306.46
55,75,92,238,2025-01-11 15:29:30,47,Delivered,1448.37
56,309,23,73,2026-04-25 01:33:15,63,Preparing,779.33
57,842,8,122,2025-06-19 21:16:09,25,Delivered,375.03
58,401,140,76,2025-08-02 16:07:04,55,Delivered,1267.53
59,937,96,246,2026-02-14 09:28:41,15,Delivered,1065.87
60,127,11,2,2026-05-17 01:47:11,51,Delivered,1036.3
61,970,22,79,2025-09-09 11:22:36,28,Delivered,1640.85
62,353,55,106,2024-10-12 16:46:53,56,Cancelled,385.05
63,189,57,158,2025-01-30 00:56:31,68,Delivered,339.13
64,688,146,219,2026-04-10 12:18:25,18,Cancelled,1688.41
65,563,119,166,2025-06-25 03:24:12,50,Delivered,1258.28
66,257,26,51,2025-07-11 12:18:11,61,Delivered,1720.04
67,366,33,172,2026-05-21 11:44:33,56,Delivered,620.48
68,72,50,82,2025-04-01 12:48:14,46,Delivered,1166.97
69,314,150,40,2024-09-02 15:09:14,51,Delivered,1482.7
70,982,110,44,2024-08-10 12:50:44,15,Delivered,1446.34
71,730,112,71,2025-11-23 05:31:57,68,Delivered,1271.31
72,340,123,119,2025-02-20 11:32:51,43,Delivered,654.03
73,565,28,45,2026-05-17 15:23:19,56,Delivered,1538.96
74,880,36,229,2024-11-22 07:53:04,49,Delivered,1360.35
75,642,20,187,2026-01-21 12:53:42,19,Cancelled,1551.82
76,647,8,209,2026-05-31 08:28:42,52,Delivered,1419.18
77,218,10,142,2025-12-10 17:43:54,31,Delivered,1797.9
78,484,39,94,2026-04-13 07:01:14,40,Delivered,1424.04
79,751,75,35,2024-10-21 19:23:06,44,Delivered,299.41
80,373,129,3,2025-03-06 05:57:14,57,Delivered,1740.6
81,629,43,194,2026-03-18 22:52:51,47,Delivered,412.72
82,580,145,169,2026-04-05 13:56:39,70,Preparing,1364.27
83,496,92,11,2024-10-04 17:52:41,29,Delivered,532.39
84,271,95,60,2024-08-25 09:33:21,17,Delivered,1004.51
85,811,93,100,2026-03-24 01:26:07,45,Preparing,1604.56
86,41,83,27,2025-04-29 21:56:43,60,Preparing,1195.39
87,281,68,149,2024-12-13 19:05:56,49,Delivered,771.49
88,388,94,151,2025-07-18 17:46:54,56,Cancelled,278.43
89,258,97,250,2025-05-22 11:54:11,29,Delivered,732.28
90,889,89,125,2025-11-19 07:21:20,65,Delivered,1146.95
91,514,36,113,2025-09-13 02:45:17,25,Delivered,998.99
92,288,55,39,2024-10-31 20:01:34,26,Delivered,1143.33
93,837,31,170,2026-01-20 17:22:36,29,Delivered,694.87
94,117,124,173,2025-10-31 16:15:44,45,Delivered,1124.8
95,663,106,6,2025-09-08 20:23:35,30,Delivered,1096.25
96,165,35,162,2025-07-31 08:47:31,47,Delivered,1094.24
97,58,43,67,2025-10-08 04:22:34,26,Delivered,819.0
98,993,145,164,2024-09-13 18:39:37,16,Cancelled,1351.16
99,842,73,243,2025-11-11 00:52:52,20,Delivered,1150.77
100,483,124,44,2026-02-18 00:20:56,29,Delivered,1141.38
101,814,150,211,2026-05-08 13:25:00,64,Delivered,1238.42
102,271,43,186,2024-11-08 07:22:08,58,Delivered,898.23
103,605,18,59,2026-03-09 15:17:09,39,Delivered,329.14
104,208,134,221,2025-08-04 08:20:58,47,Delivered,1513.75
105,621,25,46,2024-08-03 06:55:03,45,Preparing,1139.69
106,899,137,129,2025-02-25 02:02:46,63,Delivered,945.7
107,134,139,212,2025-05-05 10:48:14,15,Cancelled,1428.54
108,665,111,134,2024-11-06 20:43:26,41,Delivered,221.67
109,543,110,59,2025-01-27 14:25:43,66,Delivered,1418.31
110,359,148,26,2026-05-16 03:54:58,42,Delivered,937.28
111,239,22,73,2025-09-01 11:56:54,53,Cancelled,824.27
112,194,2,182,2025-09-11 05:28:28,62,Delivered,1103.68
113,121,134,2,2025-10-05 07:45:41,39,Delivered,1284.82
114,324,105,93,2026-05-25 06:58:28,21,Delivered,1225.1
115,260,67,219,2026-03-16 19:10:48,49,Delivered,753.31
116,283,102,194,2025-04-25 14:36:42,28,Delivered,1443.25
117,495,46,95,2025-06-06 10:57:30,50,Delivered,568.73
118,315,148,89,2024-12-02 12:08:33,64,Delivered,1364.04
119,876,31,192,2026-06-20 11:46:55,29,Delivered,1303.86
120,166,26,55,2024-11-12 08:35:26,47,Delivered,708.42
121,564,14,42,2026-07-25 10:25:57,39,Preparing,158.73
122,94,38,121,2025-04-12 01:49:22,53,Delivered,255.73
123,228,95,21,2025-10-05 00:20:16,53,Delivered,784.14
124,411,134,74,2026-04-18 12:12:13,60,Preparing,244.81
125,793,45,164,2026-07-08 03:04:56,46,Delivered,482.82
126,673,133,74,2026-04-18 17:40:54,27,Delivered,1139.2
127,529,60,158,2026-03-23 16:35:18,25,Delivered,743.57
128,671,1,250,2025-06-26 14:51:12,25,Delivered,605.3
129,410,91,172,2025-06-17 05:52:38,40,Delivered,480.51
130,16,18,236,2024-09-12 09:36:21,20,Delivered,1348.13
131,573,150,90,2025-04-07 01:48:31,37,Preparing,606.24
132,621,50,117,2026-05-31 04:17:42,40,Delivered,580.83
133,417,130,28,2026-03-21 09:54:09,50,Delivered,635.52
134,970,30,206,2025-10-25 08:00:20,47,Preparing,1595.59
135,833,148,65,2025-08-26 10:14:29,59,Delivered,772.18
136,496,63,194,2025-06-16 19:14:37,36,Preparing,907.1
137,472,8,124,2026-04-05 10:59:11,22,Delivered,781.41
138,808,57,174,2026-03-06 22:30:38,59,Delivered,670.96
139,979,91,133,2025-07-13 10:01:36,49,Delivered,1523.09
140,255,74,24,2025-09-20 15:37:40,40,Delivered,1504.77
141,78,142,239,2025-07-07 12:45:33,26,Delivered,733.34
142,916,147,69,2025-03-03 04:29:37,26,Preparing,1277.13
143,932,49,128,2025-03-18 00:46:07,62,Delivered,1363.46
144,894,68,53,2026-05-30 01:25:09,29,Delivered,562.0
145,634,92,40,2024-12-06 05:37:39,64,Delivered,1668.31
146,693,127,158,2024-11-13 10:06:58,15,Delivered,1043.43
147,44,124,96,2025-08-15 18:20:27,54,Delivered,1631.9
148,903,148,223,2026-01-28 12:12:53,32,Delivered,1774.25
149,938,131,72,2025-04-17 12:15:43,40,Delivered,1101.5
150,56,135,205,2025-08-29 08:29:57,42,Delivered,1042.27
151,515,89,101,2025-04-17 00:58:49,70,Delivered,438.42
152,1000,31,179,2026-02-24 11:04:26,48,Delivered,1287.2
153,13,54,98,2026-06-22 19:26:22,52,Delivered,746.64
154,883,67,48,2025-12-30 22:27:27,50,Delivered,594.52
155,982,88,94,2025-03-03 05:54:15,26,Delivered,497.38
156,718,96,94,2025-09-22 13:00:41,69,Delivered,893.7
157,586,34,148,2025-12-02 02:04:25,58,Delivered,314.79
158,277,61,143,2025-04-18 18:56:22,42,Cancelled,473.5
159,820,39,122,2026-02-18 07:32:41,66,Delivered,845.51
160,138,133,137,2025-10-29 00:37:42,61,Delivered,952.92
161,257,144,220,2025-06-21 19:31:00,51,Delivered,313.31
162,168,16,56,2025-05-07 13:34:02,67,Delivered,1534.3
163,99,116,191,2026-04-08 19:16:19,36,Delivered,744.51
164,571,66,89,2026-06-02 07:43:53,16,Delivered,729.3
165,696,51,148,2025-04-01 12:56:07,51,Delivered,1038.42
166,800,73,91,2026-04-01 19:35:57,35,Delivered,954.36
167,755,115,228,2026-02-02 14:46:20,20,Delivered,622.76
168,647,38,223,2026-05-13 17:38:46,25,Delivered,1682.14
169,432,147,104,2025-11-17 16:45:02,69,Preparing,280.53
170,352,59,81,2025-03-09 18:50:36,35,Delivered,1322.22
171,620,102,70,2024-12-14 03:29:39,43,Delivered,1698.97
172,766,134,248,2025-08-23 00:03:55,43,Delivered,453.41
173,24,33,187,2024-11-06 04:20:14,30,Delivered,1701.72
174,718,21,54,2025-03-22 14:35:42,25,Delivered,307.66
175,960,122,141,2025-11-18 06:26:47,18,Delivered,805.07
176,784,22,27,2026-07-06 06:13:45,31,Delivered,289.11
177,954,100,80,2024-10-29 05:28:02,29,Delivered,618.89
178,642,33,34,2024-10-01 12:20:44,48,Delivered,197.14
179,680,92,221,2026-04-21 02:05:35,35,Cancelled,920.87
180,892,139,240,2026-01-18 11:20:32,32,Delivered,372.94
181,972,139,46,2025-06-26 14:01:26,52,Delivered,1191.23
182,652,145,112,2025-04-13 03:56:59,48,Delivered,1030.74
183,931,89,124,2024-08-17 18:56:13,49,Delivered,297.76
184,316,94,106,2024-11-11 19:05:06,31,Delivered,167.42
185,536,35,89,2026-07-23 09:58:30,33,Delivered,163.72
186,945,126,243,2026-05-21 01:33:39,63,Delivered,165.07
187,441,75,153,2024-08-02 22:10:31,29,Delivered,1054.55
188,194,106,226,2026-06-14 12:19:55,50,Delivered,562.33
189,733,100,213,2024-08-28 16:02:10,39,Delivered,280.7
190,641,62,133,2024-08-31 08:46:22,63,Delivered,1161.81
191,711,70,73,2024-11-27 04:31:00,56,Delivered,1484.53
192,423,49,219,2026-04-12 16:50:01,19,Delivered,627.83
193,653,117,159,2025-03-24 09:27:43,43,Delivered,1177.54
194,193,83,5,2025-05-14 09:29:47,24,Delivered,1032.7
195,191,27,73,2025-12-07 12:25:33,32,Delivered,873.39
196,9,60,24,2025-01-23 09:05:03,24,Delivered,508.36
197,431,80,202,2025-10-27 11:32:03,66,Delivered,762.81
198,714,9,85,2025-12-13 20:49:09,20,Delivered,1720.21
199,58,69,199,2026-06-11 08:13:58,40,Delivered,925.74
200,197,65,210,2025-01-25 07:59:21,39,Delivered,351.24
201,787,64,99,2024-09-23 13:39:00,64,Preparing,557.82
202,35,51,118,2025-01-28 16:44:15,62,Delivered,1009.88
203,214,122,100,2024-11-07 21:55:38,58,Preparing,1694.76
204,163,11,191,2025-12-10 05:23:58,50,Delivered,567.97
205,654,77,51,2026-06-10 12:55:14,38,Cancelled,1575.04
206,224,29,61,2026-05-01 11:52:44,55,Delivered,174.86
207,814,71,150,2026-06-14 23:24:22,22,Delivered,551.1
208,993,11,149,2026-05-02 11:20:39,65,Delivered,1285.87
209,159,96,198,2024-10-26 22:57:20,20,Delivered,974.87
210,703,87,239,2026-04-10 21:47:01,63,Delivered,248.63
211,661,40,180,2025-04-08 06:12:33,49,Delivered,357.62
212,239,82,143,2026-06-03 15:15:42,65,Delivered,723.07
213,914,113,188,2025-04-01 13:51:38,27,Delivered,773.32
214,742,35,65,2024-09-20 20:18:04,17,Delivered,871.88
215,302,139,179,2025-01-06 21:20:18,46,Delivered,457.93
216,357,83,188,2024-08-02 09:21:10,44,Delivered,1521.73
217,937,142,42,2025-04-06 16:53:15,19,Delivered,891.48
218,840,68,139,2025-04-19 02:16:34,38,Delivered,1430.26
219,519,98,188,2025-08-06 07:14:22,26,Cancelled,1172.56
220,373,62,83,2024-08-24 07:24:15,61,Delivered,1745.82
221,839,100,49,2025-09-07 08:20:20,48,Delivered,1413.46
222,158,73,83,2025-01-03 14:03:47,41,Delivered,332.27
223,536,18,12,2025-12-03 01:17:26,68,Preparing,444.75
224,33,52,28,2025-12-02 17:35:49,46,Delivered,202.5
225,658,100,169,2025-06-24 16:49:45,46,Delivered,1307.17
226,263,13,94,2025-10-03 13:39:18,29,Delivered,266.94
227,953,54,168,2026-02-22 09:44:05,46,Preparing,1522.93
228,480,16,93,2024-12-17 13:01:48,50,Delivered,1619.21
229,842,95,204,2026-01-09 18:49:59,60,Delivered,1167.94
230,542,11,188,2024-10-15 00:32:49,19,Delivered,278.59
231,222,133,25,2025-03-06 13:58:56,21,Delivered,1027.24
232,195,50,135,2025-03-21 14:44:51,57,Delivered,1181.79
233,184,143,192,2025-03-06 22:26:09,50,Delivered,324.1
234,654,148,92,2026-05-21 03:35:32,58,Delivered,1247.65
235,905,27,43,2025-09-05 19:28:06,65,Delivered,812.57
236,346,41,137,2025-09-09 16:21:21,53,Delivered,731.33
237,323,141,84,2025-11-20 05:32:07,69,Delivered,1410.9
238,441,83,156,2025-05-22 14:25:22,30,Delivered,502.98
239,785,141,238,2025-05-24 17:50:14,62,Delivered,1736.73
240,459,102,1,2025-10-27 13:26:20,61,Delivered,619.4
241,17,133,35,2025-11-22 14:27:37,34,Delivered,1774.25
242,220,81,6,2026-02-05 18:28:53,64,Delivered,1288.04
243,283,142,131,2025-08-14 03:31:16,50,Delivered,1093.16
244,97,10,118,2024-11-17 23:13:47,37,Delivered,587.23
