payment_id,order_id,payment_method,payment_status
1,1,Wallet,Success
2,2,UPI,Success
3,3,Card,Success
4,4,Card,Success
5,5,Wallet,Success
6,6,Wallet,Success
7,7,Card,Success
8,8,UPI,Success
9,9,Wallet,Success
10,10,Cash,Success
11,11,Cash,Success
12,12,Wallet,Success
13,13,Wallet,Success
14,14,Cash,Success
15,15,Card,Success
16,16,Cash,Success
17,17,Card,Success
18,18,Card,Success
19,19,Cash,Success
20,20,Card,Success
21,21,Cash,Success
22,22,UPI,Success
23,23,Cash,Success
24,24,Wallet,Success
25,25,Wallet,Success
26,26,UPI,Success
27,27,Card,Success
28,28,Cash,Success
29,29,UPI,Success
30,30,Cash,Success
31,31,Card,Success
32,32,Card,Success
33,33,Cash,Success
34,34,Card,Success
35,35,Cash,Success
36,36,Wallet,Success
37,37,UPI,Success
38,38,UPI,Success
39,39,Card,Success
40,40,Wallet,Success
41,41,Cash,Success
42,42,Cash,Success
43,43,Cash,Success
44,44,Card,Success
45,45,Cash,Success
46,46,Cash,Failed
47,47,Card,Success
48,48,Wallet,Success
49,49,Cash,Success
50,50,UPI,Success
51,51,Card,Success
52,52,Wallet,Success
53,53,Cash,Success
54,54,UPI,Success
55,55,Cash,Success
56,56,UPI,Success
57,57,Card,Success
58,58,Cash,Success
59,59,Card,Success
60,60,Wallet,Success
61,61,UPI,Success
62,62,Cash,Success
63,63,UPI,Success
64,64,Card,Success
65,65,Cash,Success
66,66,Cash,Success
67,67,UPI,Success
68,68,Cash,Success
69,69,Card,Success
70,70,UPI,Success
71,71,Card,Success
72,72,UPI,Success
73,73,UPI,Success
74,74,Card,Success
75,75,Wallet,Success
76,76,Card,Success
77,77,Cash,Success
78,78,Wallet,Success
79,79,UPI,Success
80,80,UPI,Success
81,81,Wallet,Success
82,82,Card,Success
83,83,Card,Success
84,84,Wallet,Success
85,85,Cash,Success
86,86,UPI,Success
87,87,Card,Success
88,88,Cash,Success
89,89,UPI,Success
90,90,Card,Success
91,91,UPI,Success
92,92,Wallet,Success
93,93,Wallet,Failed
94,94,Cash,Success
95,95,UPI,Success
96,96,UPI,Success
97,97,Card,Success
98,98,Card,Success
99,99,UPI,Success
100,100,Card,Success
101,101,UPI,Success
102,102,Card,Success
103,103,Cash,Success
104,104,UPI,Success
105,105,Cash,Success
106,106,UPI,Success
107,107,UPI,Failed
108,108,Cash,Success
109,109,Wallet,Failed
110,110,UPI,Success
111,111,Cash,Success
112,112,Cash,Success
113,113,Wallet,Failed
114,114,UPI,Success
115,115,Wallet,Failed
116,116,Wallet,Success
117,117,UPI,Success
118,118,UPI,Success
119,119,UPI,Success
120,120,Wallet,Success
121,121,Wallet,Success
122,122,UPI,Success
123,123,Card,Success
124,124,Cash,Success
125,125,Wallet,Success
126,126,Cash,Success
127,127,Wallet,Success
128,128,Card,Success
129,129,Card,Success
130,130,Wallet,Success
131,131,Cash,Success
132,132,Card,Success
133,133,Wallet,Success
134,134,UPI,Success
135,135,Card,Success
136,136,Wallet,Success
137,137,Card,Success
138,138,Cash,Success
139,139,Wallet,Success
140,140,Card,Success
141,141,UPI,Success
142,142,Cash,Success
143,143,UPI,Success
144,144,Wallet,Success
145,145,Cash,Success
146,146,Card,Success
147,147,Card,Success
148,148,Wallet,Success
149,149,Card,Success
150,150,Cash,Success
151,151,Wallet,Success
152,152,UPI,Success
153,153,UPI,Success
154,154,Cash,Success
155,155,Card,Success
156,156,Cash,Success
157,157,Card,Failed
158,158,Wallet,Success
159,159,Card,Success
160,160,Card,Success
161,161,UPI,Success
162,162,Wallet,Success
163,163,Card,Success
164,164,Wallet,Success
165,165,Wallet,Success
166,166,Wallet,Success
167,167,Card,Success
168,168,Cash,Success
169,169,Cash,Success
170,170,Wallet,Success
171,171,Cash,Success
172,172,Cash,Success
173,173,Wallet,Success
174,174,Wallet,Success
175,175,UPI,Success
176,176,Card,Failed
177,177,Card,Success
178,178,Cash,Success
179,179,UPI,Success
180,180,UPI,Success
181,181,UPI,Success
182,182,Wallet,Failed
183,183,Cash,Success
184,184,Wallet,Success
185,185,Cash,Success
186,186,UPI,Success
187,187,Card,Success
188,188,UPI,Success
